,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
94521,30-Sep-21,3:10:00,8,4,0,0,27,17,12,14,30,10,4,10,5,0,10,40,4,2,18,39,32,0,15,34,0,28,4,4,0,4,32,39
94531,30-Sep-21,3:20:00,11,1,5,9,31,12,17,22,36,8,7,21,8,4,6,33,11,3,23,43,7,3,29,41,0,11,4,0,0,2,29,41
94541,30-Sep-21,3:30:00,4,10,0,11,36,14,16,19,28,10,11,13,24,2,0,32,10,6,19,27,11,0,19,41,0,43,10,9,0,7,27,42
94551,30-Sep-21,3:40:00,8,5,0,18,29,14,25,19,22,2,10,15,15,4,5,21,20,14,19,38,17,0,27,39,0,24,2,5,0,8,27,31
94561,30-Sep-21,3:50:00,10,4,3,2,25,9,21,21,31,15,9,14,13,0,3,37,10,12,29,21,20,0,21,34,0,18,2,11,0,13,26,29
94571,30-Sep-21,4:00:00,10,0,0,11,20,26,19,17,25,16,15,9,11,0,2,21,16,7,17,45,21,3,19,37,0,38,2,9,0,4,26,46
94581,30-Sep-21,4:10:00,15,3,3,3,34,28,15,13,27,7,8,9,21,7,2,29,29,9,20,32,15,1,23,37,0,29,2,8,0,5,33,31
94591,30-Sep-21,4:20:00,10,3,0,4,36,18,25,13,23,0,7,17,16,1,0,33,17,15,19,38,20,1,19,32,0,22,16,6,0,6,22,40
94601,30-Sep-21,4:30:00,11,2,8,3,33,9,27,20,23,4,15,13,16,0,0,18,10,21,23,18,18,4,23,34,0,23,7,13,0,3,27,49
94611,30-Sep-21,4:40:00,8,2,6,8,37,13,19,22,34,8,18,9,17,0,13,36,11,15,24,31,9,0,24,21,0,35,0,9,0,7,37,38
94621,30-Sep-21,4:50:00,4,2,0,4,33,19,23,17,29,10,26,9,8,3,7,29,14,21,16,15,20,0,38,30,0,21,5,12,0,3,27,31
94631,30-Sep-21,5:00:00,14,6,0,11,34,20,24,26,26,11,8,3,12,3,1,29,23,0,25,25,24,1,29,39,0,34,8,13,0,1,15,32
94641,30-Sep-21,5:10:00,16,32,0,5,37,28,29,28,18,6,9,21,19,2,8,15,27,19,19,32,18,0,26,30,3,22,11,23,0,7,20,45
94651,30-Sep-21,5:20:00,7,2,12,0,33,23,25,28,36,11,12,29,19,2,2,23,11,14,16,34,25,0,27,39,0,45,4,10,0,7,32,30
